Title,University,Program,Funding,Year,Recipients_Partners,Description,Category
Developing scaling-up process to produce haloalkaliphilic bacteria inoculum for industry-deployment to treat alkaline wastes from refining alumina,The University of Queensland,AEA Seed,"$193,720.00",2023,Dr Fang You,"Australia's alumina sector is facing multi-billion dollars of liability to rehabilitate thousands of hectares of polluting bauxite residue (or red mud), which have already been accumulated in landscapes of Queensland, Northern Territory and Western Australia. This project aims to develop a process to effectively treat waste generated from refining alumina using haloalkaliphilic bacteria, which is a special type of bacteria. The production of aluminium produces a variety of bauxite waste products, some of which can be highly alkaline in nature. The ability to treat this waste would benefit resource companies by making alumina refinement more sustainable.","Energy, Environment & Sustainability"
Developing Spatial Adaptive Imaging for Clinics,The Australian National University,AEA Seed,"$141,483.00",2023,Dr Woei Ming Steve Lee,"This project aims to generate a new technology called Australian Made Spatial Adaptive Imaging (SAI), capable of surpassing the current gold-standards for high resolution imaging, including single cell imaging and other high resolution microscopy techniques. By pushing the boundaries of imaging technology, this project has the potential to significantly improve clinical diagnostics and treatments, offering a new level of detail and understanding in medical imaging that could benefit patients in Australia and around the world.",Health & Medical Technology
Development of a mini-gut reactor system for functional screening of gut microbiome modulators,Queensland University of Technology,AEA Seed,"$180,041.00",2023,Professor Yi-Chin Toh,"This project aims to develop a testing platform (mini-gut reactor) that can reduce the time taken to functionally test gut microbiome and help diagnosis and improve overall health. The gut microbiome refers to microorganisms living in the human digestive track which play a crucial role in human health. The ability to assess its function quickly and accurately is vital for advancing medical research and treatment. This project has the potential to transform the way gut health is managed and understood, with significant implications for healthcare in Australia and globally.",Health & Medical Technology
Development of non-invasive imaging tools to idendify recombinant protein expression in plant based molecular farming,The Australian National University,AEA Seed,"$166,117.00",2023,Dr Richard Poire,"Traditional meat production systems are unsustainable, using over 60 per cent of all the food we grow to feed the animals we eat. The future of meat is cultured but producers are struggling with high cost and low availability of the ingredients they need. Pharmaceutical, alternative food protein and nutraceutical sectors are investing in plant-based molecular farming (PBMF), where plants are used as protein factories. This project aims to develop a 3D scanner that can non-invasively detect and analyse the presence of food-grade recombinant proteins in plant leaves. This technology is crucial for the field of PBMF as it would allow for the optimisation and quantification of protein yield in leaves without damaging the plants. The project will utilise a unique 3D hyperspectral scanner at the Australian Plant Phenomics Facility. The scanner will identify the expression of these proteins, which are important for various applications, including pharmaceuticals and food products.","Energy, Environment & Sustainability"
Direct air capture of carbon dioxide and water to enable sustainable biomanufacturing,Monash University,AEA Seed,"$194,439.00",2023,Dr Masood Sheikh Alivand,"The uncontrolled use of fossil fuels has resulted in a graduate increase in atmospheric CO2 concentration and anthropogenic global warming. To address this issue, ‘negative emission technologies’, particularly direct air capture (DAC) are coming into focus globally. This project aims to design and build solar-powered DAC units capable of capturing CO2 producing water, thereby aligning well with Australia’s climate commitments. DAC technology aims to extract CO2 and water directly from the atmosphere. This process is powered by solar energy, making it a renewable and sustainable method.","Energy, Environment & Sustainability"
Enabling the Lithium economy by creating vale-added product(s) for energy storage market,Monash University,AEA Seed,"$199,290.00",2023,Dr Md Joynul Abedin,"Currently, Australia contributes to around half of the world’s lithium production for a global market of USD $3.83 billion. However, we most typically export lithium ores overseas for development into value-added products only to purchase the technology (e.g. batteries, supercaps) back at a higher price. This project aims to create next-generation, value-added products from lithium for the emerging energy storage market. The significance of this project lies in its potential to contribute to the lithium economy by creating high-value products such as lithium-ion capacitors (LICs), which offer a combination of battery-like energy density and supercapacitor-like power density. Battery technology is a vital part of the renewable energy mix and can be scaled from a personal household device up to grid-scale storage.","Energy, Environment & Sustainability"
Establishing Vision-BaDGE anti-VEGF DNA therapy for age-related macular degeneration,The University of New South Wales,AEA Seed,"$199,840.00",2023,Dr Georg von Jonquieres,"The project aims to develop a DNA-based therapy called ‘Bionic array Directed Gene Electrotransfer’ (BaDGE®) to treat wet age-related macular degeneration (wetAMD) and related vision disorders. Age-related macular degeneration is a leading cause of vision loss in the elderly, and the development of this therapy could provide a significant breakthrough in the treatment of these conditions. It holds promise not only for improving the quality of life for individuals affected by wetAMD in Australia but also has global implications for the treatment of vision disorders.",Health & Medical Technology
Geothermal Cities: Transfomring Urban Energy Supply with Innovative and Cost- Effective Shallow Geothermal Systems,The University of New South Wales,AEA Seed,"$199,953.00",2023,Dr Asal Bidarmaghz,"This project seeks to tackle the pressing challenge of energy affordability and the climate crisis in densely populated urban areas. It aims to harness the untapped potential of geothermal energy (heat derived from the earth’s interior) using ‘shallow geothermal systems’ which are both cost-effective and efficient. The successful implementation of shallow geothermal systems, which use stable temperatures near the earth’s surface to heat and cool buildings, could significantly impact energy sustainability in Australia, offering a reliable and affordable energy source while also contributing to global climate change mitigation efforts.","Energy, Environment & Sustainability"
High resolution cortical recording for the prediction and prevention of epileptic seizures,The University of Melbourne,AEA Seed,"$294,119.00",2023,Professor Steven Prawer,"Worldwide, more than 30 per cent of the people living with epilepsy are drug resistant. For many patients the anxiety associated with the unpredictability of seizures represents one of the primary burdens of the disease. This project is working to develop an implantable device that can monitor brain activity with high precision. Their aim is to predict and prevent epileptic seizures, which could also lead to a breakthrough in effectively treating depression and anxiety without the use of drugs. This technology has the potential to transform the lives of individuals suffering from epilepsy by providing a drug-free treatment option. It's a significant advancement not only for Australian healthcare but also for global medical practices.",Health & Medical Technology
"High-yield, low-cost manufacturing of quantum magnetic field sensors",The University of New South Wales,AEA Seed,"$171,675.00",2023,Dr Maja Cassidy,"This project aims to develop a low-cost manufacturing process for superconducting quantum magnetic sensors, capable of non-invasive geological mapping of resource deposits. The technology uses new methods in creating high-temperature superconductors with a helium ion beam to directly make the superconducting device. The sensors can detect magnetic fields in different ways, either as a vector magnetometer or as a magnetic gradiometer, which allows for mapping magnetic fields deep inside the earth. By identifying and mapping Australia’s primary resources, this project can practically enhance the work of mineral companies. A more efficient resources sector will be critical to building technology to drive down emissions.","Energy, Environment & Sustainability"
Improving diabetes treatment with a point-of-care device to objectively assess disease,The University of Adelaide,AEA Seed,"$445,000.00",2023,Professor Robert McLaughlin,"Over 1.2 million Australians have diabetes, costing $2.7 billion annually. Poor blood flow in the feet is a major complication and the leading global cause of chronic foot ulcers and foot amputations. However, clinicians lack good devices to help them assess blood flow. This project aims to develop a new medical device to accurately measure blood flow in patients. This innovation aims to enhance the treatment of diabetes by providing clinicians with objective data to inform their treatment decisions. This device has the potential to revolutionise treatment protocols, ensuring that diabetic patients receive the most appropriate and effective care.",Health & Medical Technology
Improving flotation benefication of minerals,The University of Queensland,AEA Seed,"$156,431.00",2023,Dr Hangil Park,"Flotation is the most widely used process for extracting minerals from their ores and uses water to either repel or attract minerals. This project aims to improve on the current flotation metal recovery process, which is crucial to significantly reduce processing time and metal loss. Importantly, improving flotation methods is important for products like rare earth elements which can have very low mineral concentrations. The project is expected to yield increased flotation recovery and product grade, providing valuable knowledge for full-scale design and potentially boosting production and export income from license fees.",Mining & Resources
Industrially viable manufacturing for next generation solar cells,Macquarie University,AEA Seed,"$196,621.00",2023,Professor Shujuan Huang,"This project aims to continue to build on and improve Australia’s solar cell industry by creating a manufacturing process that is both sustainable and efficient. It seeks to tackle the challenges of solvent toxicity and the cost and availability of critical materials, which are significant hurdles in the production of next-generation solar cells. By addressing these issues, the project intends to produce solar cells that are not only more efficient and cost-effective but also environmentally friendly, aligning with the global shift towards renewable energy sources and reduced greenhouse gas emissions.","Energy, Environment & Sustainability"
Lithium-ion Battery Recycling and Reclamation,Griffith University,AEA Seed,"$280,623.00",2023,Dr Zhenzhen Wu,"This project is focused on advancing lithium-ion battery recycling and reclamation. Lithium-ion batteries are essential in everything from smartphones to electric vehicles, and as the world transitions to net zero their demand will only increase. Australia's development of on-shore capabilities to ensure the battery’s components can be reintegrated into the battery supply chain or repurposed across various industries, preventing harmful chemicals being released into the environment through landfill is crucial.","Energy, Environment & Sustainability"
Low-Emission Carbon Dioxide Recycling Technology for Concrete Masonry Production,The University of New South Wales,AEA Seed,"$199,865.00",2023,Dr Alireza Kashani,"This project is pioneering a new CO2 capture technology for use in new low-emission concrete masonry. This project aims to create a new market for captured CO2 from industry sectors with hard-to-abate emissions. The captured CO2 will be used to make a new low-emission concrete masonry. This project aims to support a more sustainable construction industry, reducing the carbon emissions that come from making one of the most common building materials.","Energy, Environment & Sustainability"
Manufacture and agronomic assessment for polymer-free lignite derived slow-release fertiliser (SRF),The University of Southern Queensland,AEA Seed,"$251,714.00",2023,Associate Professor Lei Ge,"This project aims to design and manufacture slow-release fertilisers (SRFs) characterised with high efficiency and sustained slow-release of nutrients. The project's goal is to design and manufacture these SRFs without the use of polymers, which are traditionally used in such fertilisers to control nutrient release rates. There are environmental benefits in retaining more nitrogen in soil for a longer period as nitrogen losses and run off is a pressing issue in agriculture. Using lignite as ‘scaffolding’ may allow the plants to access more of the nitrogen in the SRF.",Agriculture & Food Technology
Market-relevant Rechargeable Aluminium Battery Prototyping,The University of Queensland,AEA Seed,"$151,960.00",2023,Dr Xiaodan Huang,"Battery storage is essential for Australia to shift to lower emissions electricity systems. Despite being well endowed with world-class battery minerals Australia’s battery industry is at the low end of the battery value chain. This project aims to bring a new type of rechargeable battery to the market. By leveraging a patented graphene processing technique developed at The University of Queensland, the project seeks to create aluminium batteries that are not only rechargeable but also more efficient and potentially cheaper than current options.","Energy, Environment & Sustainability"
Mining with muons: muon tomography methods for site exploration and safety management,Swinburne University of Technology,AEA Seed,"$153,823.00",2023,Dr Federico Scutti,This project aims to conduct the first underground survey using muon tomographic at a mine site using Australian-developed technology. Muons are elementary particles generated through cosmic rays and used to peer inside dense or dangerous objects and environments. This groundbreaking survey method will significantly enhance site exploration and safety management by providing detailed 3D density maps of underground structures. The generation of 3D modelling at mine sites will allow industry to identify mineral deposits and oil reservoirs without the need to enter the spaces physically.,"Energy, Environment & Sustainability"
NanoVibeH2: High Frequency Sound Wave Electrolytic Enahancement for Efficient Green Hydrogen Production,The Royal Melbourne Institute of Technology (RMIT),AEA Seed,"$157,282.00",2023,Associate Professor Amgad Rezk,"This project aims to develop a technology known as the NanoVibeH2, which uses high frequency sound waves to efficiently produce green hydrogen. Electrolysis involves electricity running through water with two electrodes to split water molecules into oxygen and hydrogen gases, which appear as bubbles. This technology offers a promising way to tap into a plentiful supply of cheap hydrogen fuel for transportation and other sectors, which could radically reduce carbon emissions and help fight climate change.","Energy, Environment & Sustainability"
Olives the Australia Way - A new style of table olive using a novel debittering process,University of South Australia,AEA Seed,"$275,054.00",2023,Professor John Fielke,"Olives are a healthy product due to the presence of anti-oxidants, vitamins and anti-cancer compounds. Current commercial methods to reduce the bitterness of olives use lye and/or fermentation whereolives are stored in an acidic brine solution. These industrial processes result in much wastewater, and produce olives high in salt that is devoid of natural flavours. This project is focused on developing a new style of olive using a patented and novel process. to remove bitterness from olives quickly and effectively whilst maintaining high quality. The goal is to provide consumers with a healthy table olive that contains less salt whilst preserving the natural fresh flavours and healthy compounds. The process also offers the possibility of using the olive brine extracts for a range of health-related products, such as nutraceuticals or new food ingredients.",Health & Medical Technology
On-sun testing of thermo-photocatalytic water-splitting for hydrogen production,The University of Adelaide,AEA Seed,"$470,511.00",2023,Professor Greg Metha,"This project aims to advance clean hydrogen production technology via photocatalysis, which is a method of harnessing sunlight to drive chemical reactions. Green hydrogen is a clean fuel, and its production through such innovative means is crucial for Australia's energy future and the global shift towards sustainable energy sources. The project is expected to fast-track the technology from lab-scale to a beta prototype-scale reactor tested in real sun conditions, moving it closer to meeting the demand for green hydrogen from industries that are hard to decarbonise.","Energy, Environment & Sustainability"
Ore-sand: a circular economy solution to reduce mineral wastes and produce alternative construction materials,The University of Queensland,AEA Seed,"$180,000.00",2023,Dr Juliana Segura Salazar,"This project aims to tackle two major sustainability challenges in the mining industry: managing tailings waste in mining operations and reducing the need for natural sand extraction. The project’s innovative approach involves developing mineral processing techniques to create a new product called ore-sand, which can be used in construction and other industries. This project demonstrates a move towards a more sustainable, circular economy by repurposing by-products from mineral mining.","Energy, Environment & Sustainability"
Proof of concept cattle tick vaccine trial for commercial adoption,The University of Queensland,AEA Seed,"$260,652.00",2023,Dr Hannah Siddle,"Cattle ticks are members of the Rhipicephalus microplus species and are responsible for $US22-30 billion in losses to cattle industries world-wide. In Australia, beef producers are losing $128.2 million every year due to tick related losses. This project aims to validate the efficacy of novel tick vaccines. These vaccines are designed to significantly reduce the presence of ticks in economically important cattle breeds. The project is part of a broader effort to enhance agricultural productivity and animal health, with potential benefits including improved cattle welfare and reduced reliance on chemical tick treatments.",Health & Medical Technology
Rapid development of new medical treatment compounds from radioactive mine waste,The University of Adelaide,AEA Seed,"$196,248.00",2023,Ms Danielle Questiaux,"This project aims to identify a new source of cancer therapy medicines, called ‘radiopharmaceuticals’, which can be extracted from existing uranium mining waste. The process involves sourcing samples from radioactive waste at legacy mine sites, determining optimal extraction protocols through tests on synthetic and simulated compounds and then verifying these protocols on actual radioactive waste samples. Australia has the world’s largest uranium reserves and is the world’s third largest producer of uranium. Finding uses for uranium ore tailing and waste rock will assist industry to operate in a more sustainable way.",Health & Medical Technology
Revolutionising Agriculture: Innovative Encapsulation Technologies for a Sovereign Supply Chain,The University of Adelaide,AEA Seed,"$299,994.00",2023,Dr Yue Hui,"The global demand for animal-sourced foods continues to increase, but the livestock industry faces the challenge of high feed costs, which account for approximately 70 per cent of the total production expenses. Enzymes have become critical feed additives in the livestock industry, playing an essential role in improving animal performance, reducing feed conversion rates, and reducing mortality. This project focuses on enhancing Australia’s livestock industry and establishing sovereign supply chain capability, by developing a process that can encapsulate and deliver enzymes to livestock sustainably. The encapsulation technology aims to improve the stability and bioavailability of bioactive ingredients, which are crucial for animal performance and health.",Health & Medical Technology
